取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2026/05/07 14:58:35,"2,828",-,-,-,-,-,支払い,ZOZOTOWN,PayPay残高,-,-,04973468319747375108
2026/05/07 00:14:17,650,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04973012555000422400
2026/05/07 00:14:17,-,3,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04973012555000422400
2026/05/06 20:42:46,650,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04972903540139884546
2026/05/06 20:42:46,-,3,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04972903540139884546
2026/05/06 20:42:33,-,"10,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02261755140519075861
2026/05/05 14:37:11,-,2,-,-,-,-,ポイント、残高の獲得,コミックシーモア,PayPayポイント,-,-,04971972940984131593
2026/05/05 14:37:11,490,-,-,-,-,-,支払い,コミックシーモア,PayPay残高,-,-,04971972940984131593
2026/05/04 14:53:16,183,-,-,-,-,-,支払い,ローソン - 諏訪湖岸通り,PayPay残高,-,-,04971239059922690058
2026/05/04 14:45:50,458,-,-,-,-,-,支払い,ローソン - 諏訪湖岸通り,PayPay残高,-,-,04971235237401165825
2026/05/04 14:45:50,-,2,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04971235237401165825
2026/05/04 14:45:43,-,"1,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02260086889321988124
2026/05/03 22:34:07,400,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04970734418445295617
2026/05/03 22:34:07,-,2,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04970734418445295617
2026/05/01 12:36:47,"1,122",-,-,-,-,-,支払い,マルエツ - 愛甲石田店,PayPay残高,-,-,04968942205902233603
2026/05/01 12:36:46,-,5,-,-,-,-,ポイント、残高の獲得,マルエツ,PayPayポイント,-,-,04968942205902233603
2026/05/01 12:36:35,-,"1,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02257793832053317660
2026/04/30 23:29:25,10,-,-,-,-,-,支払い,妖怪ウォッチ ぷにぷに,PayPay残高,-,-,04968536400211566599
2026/04/26 20:38:03,-,3,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04965479397109547010
2026/04/26 20:38:03,680,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04965479397109547010
2026/04/26 20:37:52,-,"1,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02254331023260860434
2026/04/25 21:39:02,265,-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04964768657331634177
2026/04/25 21:39:01,-,1,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04964768657331634177
2026/04/25 13:26:13,-,9,-,-,-,-,ポイント、残高の獲得,HoYoverse,PayPayポイント,-,-,04964514661555576840
2026/04/25 13:26:13,"1,840",-,-,-,-,-,支払い,HoYoverse,PayPay残高,-,-,04964514661555576840
2026/04/25 13:26:06,-,"1,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02253366322066808868
2026/04/25 13:21:38,-,30,-,-,-,-,ポイント、残高の獲得,HoYoverse,PayPayポイント,-,-,04964512299323875345
2026/04/25 13:21:38,"6,100",-,-,-,-,-,支払い,HoYoverse,PayPay残高,-,-,04964512299323875345
2026/04/24 21:22:40,-,2,-,-,-,-,ポイント、残高の獲得,マクドナルド,PayPayポイント,-,-,04964018051666993157
2026/04/24 21:22:40,580,-,-,-,-,-,支払い,マクドナルド - マクドナルド小田急相模大野駅店,PayPay残高,-,-,04964018051666993157
2026/04/24 20:18:51,"6,149",-,-,-,-,-,支払い,一家ダイニング - ハンサム町田店,PayPay残高,-,-,04963985169397489668
2026/04/24 20:18:51,-,30,-,-,-,-,ポイント、残高の獲得,一家ダイニング,PayPayポイント,-,-,04963985169397489668
2026/04/24 20:18:43,-,"10,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02252836812727992366
2026/04/24 16:26:35,-,"4,000",-,-,-,JP,受け取った金額,たける,PayPay残高,-,-,02252717180708184064
2026/04/24 12:53:35,-,11,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04963755672115085324
2026/04/24 12:53:35,"2,279",-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04963755672115085324
2026/04/24 12:51:58,-,500,-,-,-,JP,受け取った金額,S,PayPay残高,-,-,02252606559530975241
2026/04/23 17:54:19,-,106,-,-,-,-,ポイント、残高の獲得,MASA,PayPayポイント,-,-,04963168498544001031
2026/04/23 17:54:19,"21,286",-,-,-,-,-,支払い,MASA - MASA,PayPay残高,-,-,04963168498544001031
2026/04/23 17:53:55,-,"5,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02252020021617082368
2026/04/23 13:18:12,-,"1,000",-,-,-,JP,受け取った金額,まつもと,PayPay残高,-,-,02251877909739274254
2026/04/23 13:12:48,"4,000",-,-,-,-,-,送った金額,たける,PayPay残高,-,-,02251875135189778440
2026/04/23 12:54:42,481,-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04963014085880119297
2026/04/23 12:54:42,-,2,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04963014085880119297
2026/04/23 09:08:33,-,44,-,-,-,-,ポイント、残高の獲得,日本工学院,PayPayポイント,-,-,04962897520468303880
2026/04/23 09:08:33,"8,800",-,-,-,-,-,支払い,日本工学院,PayPay残高,-,-,04962897520468303880
2026/04/23 07:28:39,-,"15,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02251697761630535684
2026/04/22 19:52:17,-,3,-,-,-,-,ポイント、残高の獲得,HoYoverse,PayPayポイント,-,-,04962487127752441860
2026/04/22 19:52:17,610,-,-,-,-,-,支払い,HoYoverse,PayPay残高,-,-,04962487127752441860
2026/04/22 17:34:17,-,"10,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02251267732324974592
2026/04/21 23:50:19,780,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04961867647439519744
2026/04/21 23:50:19,-,3,-,-,-,-,ポイント、残高の獲得,Google,PayPayポイント,-,-,04961867647439519744
2026/04/19 22:38:48,-,17,-,-,-,-,ポイント、残高の獲得,ZOZOTOWN,PayPayポイント,-,-,04959909056451575808
2026/04/19 22:38:47,-,69,-,-,-,-,ポイント、残高の獲得,ZOZOTOWN,PayPayポイント,-,-,04959909047862214658
2026/04/19 21:40:09,"2,605",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04960316219350974466
2026/04/19 21:40:09,-,13,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04960316219350974466
2026/04/19 18:03:58,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02249056519953219584
